N:		T[ms]		Stdev[ms]	  Samples 
2200		0.32342		0.0119034		5

2200		0.72944		0.0555828		5

2200		0.32274		0.0035402		5

2200		4.39182		0.118322		5

2200		4.4075		0.178221		5

2200		4.3949		0.172072		5

2300		0.79582		0.0585155		5

2300		1.47556		0.0881691		5

2300		0.85022		0.167856		5

2300		0.40614		0.0492286		5

2300		0.7749		0.0237942		5

2300		0.378		0.0327588		5

2300		4.98004		0.279042		5

2300		4.82626		0.127916		5

2300		4.8168		0.0943078		5

2400		0.82486		0.0660699		5

2400		1.59146		0.107025		5

2400		0.8847		0.191665		5

2400		0.40704		0.0677867		5

2400		0.81974		0.0659689		5

2400		0.38038		0.00144465		5

2400		5.17516		0.0610321		5

2400		5.16638		0.0760888		5

2400		5.25502		0.146099		5

2500		0.87502		0.091966		5

2500		1.6832		0.196688		5

2500		0.78666		0.0541146		5

2500		0.38914		0.0218776		5

2500		0.77136		0.0623613		5

2500		0.3932		0.0210836		5

2500		5.39242		0.184399		5

2500		5.32696		0.241895		5

2500		5.42624		0.264545		5

2600		0.85266		0.0538099		5

2600		1.68618		0.0748619		5

2600		0.84072		0.0553834		5

2600		0.40368		0.00298195		5

2600		0.8		0.00225721		5

2600		0.40566		0.00312618		5

2600		6.03332		0.415552		5

2600		5.6022		0.307215		5

2600		5.47378		0.104438		5

2700		0.91592		0.0456837		5

2700		1.78488		0.0687172		5

2700		0.88954		0.0659517		5

2700		0.43374		0.00137949		5

2700		0.89048		0.0381554		5

2700		0.43452		0.000376829		5

2700		6.16912		0.287277		5

2700		6.09238		0.395609		5

2700		6.03038		0.374105		5

2800		1.02664		0.0882375		5

2800		1.90868		0.078786		5

2800		1.03896		0.255403		5

2800		0.46604		0.00139032		5

2800		0.9277		0.00767138		5

2800		0.46658		0.0010849		5

2800		6.62532		0.320718		5

2800		6.38028		0.146085		5

2800		6.35566		0.160218		5

2900		1.12932		0.126989		5

2900		2.0218		0.0406131		5

2900		0.9983		0.0191664		5

2900		0.498		0.00173349		5

2900		1.05492		0.140751		5

2900		0.5066		0.0149862		5

2900		7.3501		0.163101		5

2900		6.7357		0.144865		5

2900		6.85014		0.112603		5

3000		1.1291		0.0468481		5

3000		2.16928		0.0141817		5

3000		1.1739		0.25827		5

3000		0.58166		0.00573786		5

3000		1.07988		0.0240184		5

3000		0.5836		0.0213901		5

3000		7.55124		0.345751		5

3000		7.68496		0.840178		5

3000		7.22846		0.0487138		5

3100		1.24036		0.0871382		5

3100		2.44616		0.217938		5

3100		1.15834		0.0643873		5

3100		0.56876		0.00424535		5

3100		1.30408		0.234509		5

3100		0.57074		0.00131643		5

3100		8.14854		0.415006		5

3100		7.76636		0.0906892		5

3100		8.32016		0.758116		5

3200		1.26194		0.0547452		5

3200		2.53884		0.136167		5

3200		1.32028		0.264331		5

3200		0.6877		0.0350099		5

3200		1.2318		0.0530465		5

3200		0.687		0.0450184		5

3200		8.54778		0.372212		5

3200		8.39858		0.289417		5

3200		8.37506		0.325711		5

3300		1.3513		0.0753154		5

3300		2.63864		0.0649765		5

3300		1.27706		0.0014639		5

3300		0.64314		0.00110589		5

3300		1.31796		0.0652763		5

3300		0.64464		0.00106911		5

3300		8.98414		0.373768		5

3300		8.81978		0.115802		5

3300		9.01916		0.299236		5

3400		1.46814		0.0955432		5

3400		2.76204		0.00969861		5

3400		1.3537		0.00129422		5

3400		0.68164		0.00149097		5

3400		1.38004		0.0495152		5

3400		0.684		0.00255049		5

3400		9.7432		0.558173		5

3400		9.2821		0.053732		5

3400		9.75196		0.734561		5

3500		1.57154		0.119946		5

3500		3.00764		0.13483		5

3500		1.43556		0.00255793		5

3500		0.72092		0.00178241		5

3500		1.47106		0.0445036		5

3500		0.72348		0.00118828		5

3500		10.5129		0.803679		5

3500		9.82026		0.0347591		5

3500		9.84772		0.0927565		5

3600		1.61132		0.0773158		5

3600		3.19958		0.123013		5

3600		1.5519		0.0411096		5

3600		0.79768		0.077004		5

3600		1.55934		0.0689989		5

