N:		T[ms]		Stdev[ms]	  Samples 
9500		75.4678		4.83178		5

9500		74.987		2.53535		5

9500		73.5537		2.3165		5

9600		11.0542		0.0395191		5

9600		23.8587		2.4362		5

9600		10.8733		0.305024		5

9600		5.40114		0.0877985		5

9600		11.5857		0.983723		5

9600		5.42994		0.0962924		5

9600		76.1576		1.94233		5

9600		76.72		1.59384		5

9600		75.6179		2.34528		5

9700		11.4094		0.121232		5

9700		22.8482		0.819582		5

9700		11.2413		0.671654		5

9700		5.55348		0.280248		5

9700		10.9252		0.0957096		5

9700		5.46054		0.0327846		5

9700		78.4871		1.54878		5

9700		76.7547		1.32684		5

9700		77.0214		1.06291		5

9800		11.5676		0.0808779		5

9800		23.1672		0.348018		5

9800		11.48		0.549749		5

9800		5.6933		0.297201		5

9800		11.9958		1.27529		5

9800		5.6013		0.0635696		5

9800		80.6474		2.55195		5

9800		80.6815		2.85106		5

9800		79.8033		3.41763		5

9900		11.6993		0.0872331		5

9900		23.821		0.580754		5

9900		13.0085		2.70775		5

9900		5.66546		0.0281103		5

9900		12.1571		1.74305		5

9900		5.68052		0.0229324		5

9900		81.4462		2.0749		5

9900		80.7365		2.00811		5

9900		80.5236		1.38667		5

10000		13.2301		1.66075		5

10000		24.0392		0.310141		5

10000		11.9715		0.872145		5

10000		6.08978		0.438142		5

10000		11.6769		0.121776		5

10000		6.18698		0.765516		5

10000		82.3982		0.882325		5

10000		82.8097		1.39741		5

10000		82.8233		1.41299		5

10100		13.197		2.06186		5

10100		25.2899		1.23158		5

10100		13.1134		1.70264		5

